,cell_type,sex,race,count,percentage
0,"CD4-positive, alpha-beta T cell",male,European,4642,28.08737217885884
1,"CD8-positive, alpha-beta T cell",male,European,410,2.4807890119198888
2,immature alpha-beta T cell,male,European,26,0.15731832758516368
3,mature alpha-beta T cell,male,European,138,0.8349972771827918
4,"CD4-positive, alpha-beta thymocyte",male,European,2747,16.621286379863253
5,"CD8-positive, alpha-beta thymocyte",male,European,219,1.3251043746596478
6,"CD4-positive, alpha-beta T cell",male,Hispanic or Latin American,3764,22.774853270406005
7,"CD8-positive, alpha-beta T cell",male,Hispanic or Latin American,128,0.774490228111575
8,immature alpha-beta T cell,male,Hispanic or Latin American,95,0.5748169661765595
9,mature alpha-beta T cell,male,Hispanic or Latin American,262,1.58528468566588
10,"CD4-positive, alpha-beta thymocyte",male,Hispanic or Latin American,3972,24.033399891087313
11,"CD8-positive, alpha-beta thymocyte",male,Hispanic or Latin American,124,0.7502874084830883
