cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,F,U,20,0.551572
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,F,U,2,0.055157
B,kidney_l3,CL_0000785,F,U,11,0.303365
Classical Dendritic,kidney_l3,CL_0000451,F,U,2,0.055157
Connecting Tubule,kidney_l3,CL_1000768,F,U,179,4.936569
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,F,U,29,0.799779
Connecting Tubule Principal,kidney_l3,CL_1001431,F,U,69,1.902923
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,F,U,269,7.418643
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,F,U,303,8.356315
Cortical Thick Ascending Limb,kidney_l3,,F,U,400,11.031440
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,U,91,2.509653
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,F,U,5,0.137893
Descending Thin Limb Type 1,kidney_l3,CL_1001111,F,U,1,0.027579
Descending Thin Limb Type 2,kidney_l3,CL_1001111,F,U,2,0.055157
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,F,U,14,0.386100
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,F,U,427,11.776062
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,F,U,11,0.303365
Fibroblast,kidney_l3,CL_0000057,F,U,188,5.184777
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,F,U,125,3.447325
Intercalated Type B,kidney_l3,CL_0002201,F,U,113,3.116382
Lymphatic Endothelial,kidney_l3,CL_0002138,F,U,11,0.303365
Macula Densa,kidney_l3,CL_1000850,F,U,27,0.744622
Mast,kidney_l3,CL_0000097,F,U,5,0.137893
Medullary Fibroblast,kidney_l3,CL_0000057,F,U,1,0.027579
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,F,U,6,0.165472
Mesangial,kidney_l3,CL_0000650,F,U,30,0.827358
Monocyte,kidney_l3,,F,U,19,0.523993
Monocyte-derived,kidney_l3,CL_0000576,F,U,41,1.130723
Natural Killer / Natural Killer T,kidney_l3,,F,U,14,0.386100
Neutrophil,kidney_l3,CL_0000775,F,U,10,0.275786
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,F,U,1,0.027579
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,F,U,6,0.165472
Parietal Epithelial,kidney_l3,CL_1000452,F,U,55,1.516823
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,F,U,428,11.803640
Plasma,kidney_l3,CL_0000786,F,U,2,0.055157
Podocyte,kidney_l3,CL_0000653,F,U,86,2.371760
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,F,U,134,3.695532
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,F,U,49,1.351351
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,F,U,218,6.012135
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,F,U,9,0.248207
Schwann / Neural,kidney_l3,CL_0002573,F,U,3,0.082736
T,kidney_l3,CL_000084,F,U,54,1.489244
Tissue-resident Macrophage,kidney_l3,,F,U,94,2.592388
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,U,62,1.709873
