cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Female,W,18,0.647017
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Female,W,18,0.647017
B,kidney_l3,CL_0000785,Female,W,2,0.071891
Classical Dendritic,kidney_l3,CL_0000451,Female,W,3,0.107836
Connecting Tubule,kidney_l3,CL_1000768,Female,W,99,3.558591
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,Female,W,3,0.107836
Connecting Tubule Principal,kidney_l3,CL_1001431,Female,W,9,0.323508
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Female,W,117,4.205607
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Female,W,129,4.636952
Cortical Thick Ascending Limb,kidney_l3,,Female,W,399,14.342200
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,38,1.365924
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Female,W,1,0.035945
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Female,W,13,0.467290
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Female,W,14,0.503235
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Female,W,287,10.316319
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,Female,W,44,1.581596
Fibroblast,kidney_l3,CL_0000057,Female,W,15,0.539180
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,Female,W,120,4.313444
Intercalated Type B,kidney_l3,CL_0002201,Female,W,26,0.934579
Lymphatic Endothelial,kidney_l3,CL_0002138,Female,W,7,0.251618
Macula Densa,kidney_l3,CL_1000850,Female,W,64,2.300503
Mast,kidney_l3,CL_0000097,Female,W,4,0.143781
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Female,W,1,0.035945
Mesangial,kidney_l3,CL_0000650,Female,W,7,0.251618
Monocyte,kidney_l3,,Female,W,7,0.251618
Monocyte-derived,kidney_l3,CL_0000576,Female,W,22,0.790798
Natural Killer / Natural Killer T,kidney_l3,,Female,W,18,0.647017
Neutrophil,kidney_l3,CL_0000775,Female,W,2,0.071891
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Female,W,1,0.035945
Papillary Tip Epithelial,kidney_l3,CL_1000597,Female,W,1,0.035945
Parietal Epithelial,kidney_l3,CL_1000452,Female,W,36,1.294033
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Female,W,303,10.891445
Plasma,kidney_l3,CL_0000786,Female,W,2,0.071891
Podocyte,kidney_l3,CL_0000653,Female,W,165,5.930985
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Female,W,407,14.629763
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,Female,W,42,1.509705
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Female,W,202,7.260963
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,Female,W,3,0.107836
T,kidney_l3,CL_000084,Female,W,58,2.084831
Tissue-resident Macrophage,kidney_l3,,Female,W,36,1.294033
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,39,1.401869
