cell_type,annotation_level,ontology_id,sex,race,count,percentage
Ascending Thin Limb,kidney_l3,CL_1001107,M,W,23,13.772455
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,M,W,4,2.395210
Connecting Tubule,kidney_l3,CL_1000768,M,W,1,0.598802
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,M,W,1,0.598802
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,M,W,8,4.790419
Descending Thin Limb Type 1,kidney_l3,CL_1001111,M,W,10,5.988024
Descending Thin Limb Type 2,kidney_l3,CL_1001111,M,W,5,2.994012
Descending Thin Limb Type 3,kidney_l3,CL_1001111,M,W,15,8.982036
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,M,W,3,1.796407
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,M,W,51,30.538922
Intercalated Type B,kidney_l3,CL_0002201,M,W,1,0.598802
Medullary Fibroblast,kidney_l3,CL_0000057,M,W,31,18.562874
Monocyte-derived,kidney_l3,CL_0000576,M,W,2,1.197605
Natural Killer / Natural Killer T,kidney_l3,,M,W,1,0.598802
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,M,W,4,2.395210
Papillary Tip Epithelial,kidney_l3,CL_1000597,M,W,1,0.598802
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,M,W,2,1.197605
Plasma,kidney_l3,CL_0000786,M,W,1,0.598802
T,kidney_l3,CL_000084,M,W,1,0.598802
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,2,1.197605
