,dataset_name,cell_type,sex,race,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,endothelial cell,male,European,8659,29.86892031735081
1,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,macrophage,male,European,617,2.1283201103828904
2,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,mesangial cell,male,European,2,0.006898930665746809
3,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,glomerular visceral epithelial cell,male,European,111,0.3828906519489479
4,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,leukocyte,male,European,2024,6.981717833735771
5,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,blood vessel smooth muscle cell,male,European,438,1.5108658157985513
6,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney interstitial fibroblast,male,European,401,1.3832355984822353
7,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney proximal convoluted tubule epithelial cell,male,European,1705,5.8813383925491545
8,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney distal convoluted tubule epithelial cell,male,European,121,0.4173853052776819
9,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney loop of Henle thick ascending limb epithelial cell,male,European,13,0.04484304932735426
10,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney collecting duct principal cell,male,European,292,1.0072438771990342
11,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney collecting duct intercalated cell,male,European,112,0.3863401172818213
12,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,endothelial cell,male,European,8659,29.86892031735081
13,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,macrophage,male,European,617,2.1283201103828904
14,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,mesangial cell,male,European,2,0.006898930665746809
15,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,glomerular visceral epithelial cell,male,European,111,0.3828906519489479
16,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,leukocyte,male,European,2024,6.981717833735771
17,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,blood vessel smooth muscle cell,male,European,438,1.5108658157985513
18,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney interstitial fibroblast,male,European,401,1.3832355984822353
19,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney proximal convoluted tubule epithelial cell,male,European,1705,5.8813383925491545
20,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney distal convoluted tubule epithelial cell,male,European,121,0.4173853052776819
21,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney loop of Henle thick ascending limb epithelial cell,male,European,13,0.04484304932735426
22,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney collecting duct principal cell,male,European,292,1.0072438771990342
23,Spatial transcriptomics in the healthy human kidney: Puck_200115_16,kidney collecting duct intercalated cell,male,European,112,0.3863401172818213
