,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
83311,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000003,native cell,1664,21.88034188034188
83312,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000057,fibroblast,1303,17.133464825772517
83313,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000077,mesothelial cell,1,0.013149243918474687
83314,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000097,mast cell,23,0.30243261012491784
83315,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000115,endothelial cell,92,1.2097304404996714
83316,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000192,smooth muscle cell,73,0.9598948060486522
83317,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000235,macrophage,425,5.588428665351743
83318,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000236,B cell,18,0.2366863905325444
83319,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000451,dendritic cell,5,0.06574621959237344
83320,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000576,monocyte,64,0.8415516107823799
83321,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000623,natural killer cell,3,0.03944773175542406
83322,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000669,pericyte,1184,15.56870479947403
83323,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",6,0.07889546351084813
83324,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000814,mature NK T cell,4,0.052596975673898747
83325,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",3,0.03944773175542406
83326,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",41,0.5391190006574622
83327,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",60,0.7889546351084813
83328,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,30,0.39447731755424065
83329,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,1573,20.68376068376068
83330,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,6,0.07889546351084813
83331,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002144,capillary endothelial cell,649,8.533859303090072
83332,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002319,neural cell,28,0.36817882971729127
83333,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",49,0.6443129520052597
