,cell_type,sex,race,count,percentage
0,native cell,unknown,unknown,4695,1.0251875143296978
1,microglial cell,unknown,unknown,95,0.020743943314445425
2,glutamatergic neuron,unknown,unknown,830,0.18123655737883898
3,oligodendrocyte precursor cell,unknown,unknown,47,0.010262793008199317
4,cerebral cortex GABAergic interneuron,unknown,unknown,1195,0.2609369711659188
5,progenitor cell,unknown,unknown,393,0.08581441813239002
6,forebrain radial glial cell,unknown,unknown,1914,0.4179358684615637
7,cerebral cortex endothelial cell,unknown,unknown,70,0.01528501086327558
8,native cell,unknown,unknown,284,0.06201347264528949
9,blood vessel endothelial cell,unknown,unknown,70,0.01528501086327558
10,glutamatergic neuron,unknown,unknown,557,0.12162501501206424
11,Cajal-Retzius cell,unknown,unknown,39,0.008515934623824965
12,progenitor cell,unknown,unknown,38,0.00829757732577817
13,forebrain radial glial cell,unknown,unknown,84,0.018342013035930693
14,native cell,unknown,unknown,223,0.04869367746443506
15,blood vessel endothelial cell,unknown,unknown,6,0.001310143788280764
16,microglial cell,unknown,unknown,30,0.006550718941403818
17,glutamatergic neuron,unknown,unknown,9687,2.115227146179293
18,Cajal-Retzius cell,unknown,unknown,7,0.0015285010863275578
19,oligodendrocyte precursor cell,unknown,unknown,109,0.023800945487100544
20,cerebral cortex GABAergic interneuron,unknown,unknown,1827,0.39893878353149265
21,progenitor cell,unknown,unknown,1699,0.37098904938150296
22,forebrain radial glial cell,unknown,unknown,198,0.043234745013265206
23,native cell,unknown,unknown,5105,1.1147140065288832
24,blood vessel endothelial cell,unknown,unknown,49,0.010699507604292904
25,microglial cell,unknown,unknown,161,0.03515552498553383
26,glutamatergic neuron,unknown,unknown,4748,1.0367604511261779
27,Cajal-Retzius cell,unknown,unknown,31,0.006769076239450613
28,oligodendrocyte precursor cell,unknown,unknown,318,0.06943762077888048
29,cerebral cortex GABAergic interneuron,unknown,unknown,3164,0.690882491020056
30,progenitor cell,unknown,unknown,1313,0.2867031323354405
31,forebrain radial glial cell,unknown,unknown,319,0.06965597807692728
32,native cell,unknown,unknown,2127,0.4644459729455308
33,blood vessel endothelial cell,unknown,unknown,172,0.037557455264048564
34,microglial cell,unknown,unknown,299,0.0652888321159914
35,glutamatergic neuron,unknown,unknown,10705,2.3375148755909296
36,Cajal-Retzius cell,unknown,unknown,24,0.005240575153123056
37,oligodendrocyte precursor cell,unknown,unknown,306,0.06681733320231895
38,cerebral cortex GABAergic interneuron,unknown,unknown,2950,0.6441540292380422
39,progenitor cell,unknown,unknown,2886,0.6301791621630474
40,forebrain radial glial cell,unknown,unknown,1820,0.397410282445165
41,native cell,unknown,unknown,1283,0.2801524133940367
42,blood vessel endothelial cell,unknown,unknown,137,0.029914949832410775
43,microglial cell,unknown,unknown,61,0.013319795180854433
44,glutamatergic neuron,unknown,unknown,3568,0.7790988394309609
45,Cajal-Retzius cell,unknown,unknown,14,0.0030570021726551155
46,oligodendrocyte precursor cell,unknown,unknown,346,0.07555162512419072
47,cerebral cortex GABAergic interneuron,unknown,unknown,1074,0.23451573810225673
48,progenitor cell,unknown,unknown,415,0.09061827868941949
49,forebrain radial glial cell,unknown,unknown,759,0.16573318921751662
50,native cell,unknown,unknown,683,0.14913803456596028
51,blood vessel endothelial cell,unknown,unknown,274,0.05982989966482155
52,microglial cell,unknown,unknown,156,0.03406373849529986
53,glutamatergic neuron,unknown,unknown,17223,3.7607677442599323
54,oligodendrocyte precursor cell,unknown,unknown,443,0.09673228303472972
55,cerebral cortex GABAergic interneuron,unknown,unknown,1190,0.2598451846756848
56,progenitor cell,unknown,unknown,59,0.012883080584760846
57,forebrain radial glial cell,unknown,unknown,2377,0.5190352974572292
58,native cell,unknown,unknown,784,0.17119212166868647
59,microglial cell,unknown,unknown,57,0.012446365988667257
60,glutamatergic neuron,unknown,unknown,3034,0.6624960422739729
61,oligodendrocyte precursor cell,unknown,unknown,18,0.003930431364842292
62,cerebral cortex GABAergic interneuron,unknown,unknown,1263,0.2757852674331008
63,progenitor cell,unknown,unknown,1015,0.22163265751749586
64,forebrain radial glial cell,unknown,unknown,759,0.16573318921751662
65,cerebral cortex endothelial cell,unknown,unknown,16,0.003493716768748703
66,native cell,unknown,unknown,6,0.001310143788280764
67,blood vessel endothelial cell,unknown,unknown,3,0.000655071894140382
68,glutamatergic neuron,unknown,unknown,5,0.00109178649023397
69,Cajal-Retzius cell,unknown,unknown,4,0.0008734291921871758
70,native cell,unknown,unknown,8697,1.8990534211129673
71,blood vessel endothelial cell,unknown,unknown,259,0.05655454019411964
72,microglial cell,unknown,unknown,325,0.07096612186520804
73,glutamatergic neuron,unknown,unknown,4494,0.981297697422292
74,Cajal-Retzius cell,unknown,unknown,1,0.00021835729804679395
75,oligodendrocyte precursor cell,unknown,unknown,74,0.016158440055462756
76,cerebral cortex GABAergic interneuron,unknown,unknown,2160,0.47165176378107493
77,progenitor cell,unknown,unknown,5122,1.1184260805956787
78,forebrain radial glial cell,unknown,unknown,2929,0.6395685259790596
79,native cell,unknown,unknown,3580,0.7817191270075223
80,blood vessel endothelial cell,unknown,unknown,30,0.006550718941403818
81,microglial cell,unknown,unknown,216,0.0471651763781075
82,glutamatergic neuron,unknown,unknown,2647,0.5779917679298636
83,Cajal-Retzius cell,unknown,unknown,5,0.00109178649023397
84,oligodendrocyte precursor cell,unknown,unknown,73,0.015940082757415958
85,cerebral cortex GABAergic interneuron,unknown,unknown,1250,0.27294662255849245
86,progenitor cell,unknown,unknown,1737,0.37928662670728114
87,forebrain radial glial cell,unknown,unknown,680,0.1484829626718199
88,native cell,unknown,unknown,767,0.16748004760189097
89,blood vessel endothelial cell,unknown,unknown,48,0.010481150306246112
90,microglial cell,unknown,unknown,344,0.07511491052809713
91,glutamatergic neuron,unknown,unknown,8247,1.8007926369919098
92,oligodendrocyte precursor cell,unknown,unknown,263,0.057427969386306815
93,cerebral cortex GABAergic interneuron,unknown,unknown,683,0.14913803456596028
94,progenitor cell,unknown,unknown,998,0.2179205834507004
95,forebrain radial glial cell,unknown,unknown,768,0.1676984048999378
96,native cell,unknown,unknown,2287,0.49938314063301786
97,blood vessel endothelial cell,unknown,unknown,105,0.022927516294913367
98,microglial cell,unknown,unknown,266,0.058083041280447195
99,glutamatergic neuron,unknown,unknown,1540,0.3362702389920627
100,Cajal-Retzius cell,unknown,unknown,6,0.001310143788280764
101,oligodendrocyte precursor cell,unknown,unknown,415,0.09061827868941949
102,cerebral cortex GABAergic interneuron,unknown,unknown,347,0.07576998242223751
103,progenitor cell,unknown,unknown,291,0.06354197373161705
104,forebrain radial glial cell,unknown,unknown,1510,0.3297195200506589
105,native cell,unknown,unknown,5121,1.118207723297632
106,blood vessel endothelial cell,unknown,unknown,386,0.08428591704606248
107,microglial cell,unknown,unknown,1692,0.3694605482951754
108,glutamatergic neuron,unknown,unknown,10400,2.270915899686657
109,oligodendrocyte precursor cell,unknown,unknown,1647,0.3596344698830697
110,cerebral cortex GABAergic interneuron,unknown,unknown,5938,1.2966056358018625
111,progenitor cell,unknown,unknown,3283,0.7168670094876246
112,forebrain radial glial cell,unknown,unknown,5848,1.276953478977651
113,native cell,unknown,unknown,128,0.027949734149989625
114,blood vessel endothelial cell,unknown,unknown,10,0.00218357298046794
115,microglial cell,unknown,unknown,1,0.00021835729804679395
116,glutamatergic neuron,unknown,unknown,312,0.06812747699059972
117,oligodendrocyte precursor cell,unknown,unknown,8,0.0017468583843743516
118,progenitor cell,unknown,unknown,58,0.01266472328671405
119,forebrain radial glial cell,unknown,unknown,43,0.009389363816012141
120,native cell,unknown,unknown,1950,0.4257967311912482
121,microglial cell,unknown,unknown,60,0.013101437882807637
122,glutamatergic neuron,unknown,unknown,3704,0.8087954319653248
123,oligodendrocyte precursor cell,unknown,unknown,37,0.008079220027731378
124,cerebral cortex GABAergic interneuron,unknown,unknown,874,0.19084427849289792
125,progenitor cell,unknown,unknown,2245,0.49021213411505243
126,forebrain radial glial cell,unknown,unknown,1834,0.4004672846178201
127,cerebral cortex endothelial cell,unknown,unknown,69,0.015066653565228783
128,native cell,unknown,unknown,388,0.08472263164215606
129,blood vessel endothelial cell,unknown,unknown,80,0.01746858384374352
130,glutamatergic neuron,unknown,unknown,717,0.15656218269955127
131,Cajal-Retzius cell,unknown,unknown,37,0.008079220027731378
132,progenitor cell,unknown,unknown,45,0.009826078412105728
133,forebrain radial glial cell,unknown,unknown,110,0.024019302785147335
134,native cell,unknown,unknown,2906,0.6345463081239833
135,blood vessel endothelial cell,unknown,unknown,61,0.013319795180854433
136,microglial cell,unknown,unknown,192,0.04192460122498445
137,glutamatergic neuron,unknown,unknown,16118,3.519482929918225
138,Cajal-Retzius cell,unknown,unknown,34,0.007424148133590995
139,oligodendrocyte precursor cell,unknown,unknown,348,0.0759883397202843
140,cerebral cortex GABAergic interneuron,unknown,unknown,4706,1.0275894446082123
141,progenitor cell,unknown,unknown,2771,0.6050680728876661
142,forebrain radial glial cell,unknown,unknown,1310,0.2860480604413001
143,native cell,unknown,unknown,5500,1.2009651392573668
144,blood vessel endothelial cell,unknown,unknown,62,0.013538152478901225
145,microglial cell,unknown,unknown,230,0.050222178550762615
146,glutamatergic neuron,unknown,unknown,2383,0.52034544124551
147,Cajal-Retzius cell,unknown,unknown,11,0.0024019302785147334
148,oligodendrocyte precursor cell,unknown,unknown,290,0.06332361643357025
149,cerebral cortex GABAergic interneuron,unknown,unknown,6124,1.3372200932385663
150,progenitor cell,unknown,unknown,2232,0.48737348924044416
151,forebrain radial glial cell,unknown,unknown,1014,0.22141430021944908
152,native cell,unknown,unknown,3491,0.7622853274813577
153,blood vessel endothelial cell,unknown,unknown,38,0.00829757732577817
154,microglial cell,unknown,unknown,17,0.0037120740667954976
155,glutamatergic neuron,unknown,unknown,35,0.00764250543163779
156,Cajal-Retzius cell,unknown,unknown,5,0.00109178649023397
157,oligodendrocyte precursor cell,unknown,unknown,11,0.0024019302785147334
158,cerebral cortex GABAergic interneuron,unknown,unknown,7533,1.644885526186499
159,progenitor cell,unknown,unknown,1,0.00021835729804679395
160,forebrain radial glial cell,unknown,unknown,409,0.08930813490113874
161,native cell,unknown,unknown,2443,0.5334468791283177
162,blood vessel endothelial cell,unknown,unknown,77,0.016813511949603135
163,microglial cell,unknown,unknown,96,0.020962300612492223
164,glutamatergic neuron,unknown,unknown,2870,0.6266854453942987
165,Cajal-Retzius cell,unknown,unknown,6,0.001310143788280764
166,oligodendrocyte precursor cell,unknown,unknown,482,0.10524821765855469
167,cerebral cortex GABAergic interneuron,unknown,unknown,334,0.07293133754762919
168,progenitor cell,unknown,unknown,211,0.04607338988787353
169,forebrain radial glial cell,unknown,unknown,1427,0.31159586431277503
170,native cell,unknown,unknown,314,0.0685641915866933
171,blood vessel endothelial cell,unknown,unknown,17,0.0037120740667954976
172,microglial cell,unknown,unknown,80,0.01746858384374352
173,glutamatergic neuron,unknown,unknown,716,0.1563438254015045
174,oligodendrocyte precursor cell,unknown,unknown,260,0.056772897492166435
175,cerebral cortex GABAergic interneuron,unknown,unknown,164,0.03581059687967421
176,progenitor cell,unknown,unknown,105,0.022927516294913367
177,forebrain radial glial cell,unknown,unknown,625,0.13647331127924622
178,native cell,unknown,unknown,1017,0.22206937211358946
179,blood vessel endothelial cell,unknown,unknown,32,0.006987433537497406
180,microglial cell,unknown,unknown,10,0.00218357298046794
181,glutamatergic neuron,unknown,unknown,3432,0.7494022468965968
182,oligodendrocyte precursor cell,unknown,unknown,23,0.005022217855076261
183,progenitor cell,unknown,unknown,211,0.04607338988787353
184,forebrain radial glial cell,unknown,unknown,755,0.16485976002532945
185,native cell,unknown,unknown,1174,0.25635146790693614
186,microglial cell,unknown,unknown,28,0.006114004345310231
187,glutamatergic neuron,unknown,unknown,1863,0.40679964626117715
188,oligodendrocyte precursor cell,unknown,unknown,22,0.004803860557029467
189,cerebral cortex GABAergic interneuron,unknown,unknown,368,0.08035548568122018
190,progenitor cell,unknown,unknown,1240,0.27076304957802455
191,forebrain radial glial cell,unknown,unknown,921,0.20110707150109725
192,cerebral cortex endothelial cell,unknown,unknown,49,0.010699507604292904
193,native cell,unknown,unknown,56,0.012228008690620462
194,blood vessel endothelial cell,unknown,unknown,62,0.013538152478901225
195,glutamatergic neuron,unknown,unknown,79,0.01725022654569672
196,Cajal-Retzius cell,unknown,unknown,14,0.0030570021726551155
197,progenitor cell,unknown,unknown,4,0.0008734291921871758
198,forebrain radial glial cell,unknown,unknown,13,0.0028386448746083215
199,native cell,unknown,unknown,814,0.1777428406100903
