,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,CL:0000057,female,African American or Afro-Caribbean,61-year-old human stage,2824,21.311599124594373
1,Tabula Sapiens - All Cells,epithelial cell,CL:0000066,female,African American or Afro-Caribbean,61-year-old human stage,26,0.1962116066711946
2,Tabula Sapiens - All Cells,T cell,CL:0000084,female,African American or Afro-Caribbean,61-year-old human stage,230,1.7357180590144141
3,Tabula Sapiens - All Cells,mast cell,CL:0000097,female,African American or Afro-Caribbean,61-year-old human stage,72,0.5433552184740774
4,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,female,African American or Afro-Caribbean,61-year-old human stage,1549,11.689683797449248
5,Tabula Sapiens - All Cells,smooth muscle cell,CL:0000192,female,African American or Afro-Caribbean,61-year-old human stage,1232,9.297411516111993
6,Tabula Sapiens - All Cells,erythrocyte,CL:0000232,female,African American or Afro-Caribbean,61-year-old human stage,47,0.3546902120594672
7,Tabula Sapiens - All Cells,macrophage,CL:0000235,female,African American or Afro-Caribbean,61-year-old human stage,1907,14.391366689306468
8,Tabula Sapiens - All Cells,B cell,CL:0000236,female,African American or Afro-Caribbean,61-year-old human stage,10,0.07546600256584408
9,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,female,African American or Afro-Caribbean,61-year-old human stage,357,2.694136291600634
10,Tabula Sapiens - All Cells,plasma cell,CL:0000786,female,African American or Afro-Caribbean,61-year-old human stage,35,0.26413100898045433
11,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,female,African American or Afro-Caribbean,61-year-old human stage,95,0.7169270243755188
12,Tabula Sapiens - All Cells,fibroblast,CL:0000057,male,European,59-year-old human stage,1906,14.383820089049884
13,Tabula Sapiens - All Cells,T cell,CL:0000084,male,European,59-year-old human stage,153,1.1546298392574146
14,Tabula Sapiens - All Cells,mast cell,CL:0000097,male,European,59-year-old human stage,4,0.030186401026337635
15,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,male,European,59-year-old human stage,10,0.07546600256584408
16,Tabula Sapiens - All Cells,smooth muscle cell,CL:0000192,male,European,59-year-old human stage,1273,9.606822126631952
17,Tabula Sapiens - All Cells,erythrocyte,CL:0000232,male,European,59-year-old human stage,7,0.05282620179609086
18,Tabula Sapiens - All Cells,macrophage,CL:0000235,male,European,59-year-old human stage,805,6.075013206550449
19,Tabula Sapiens - All Cells,B cell,CL:0000236,male,European,59-year-old human stage,6,0.04527960153950645
20,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,male,European,59-year-old human stage,526,3.9695117349633993
21,Tabula Sapiens - All Cells,plasma cell,CL:0000786,male,European,59-year-old human stage,5,0.03773300128292204
22,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,male,European,59-year-old human stage,13,0.0981058033355973
23,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,male,European,59-year-old human stage,42,0.31695721077654515
24,Tabula Sapiens - All Cells,endothelial cell of artery,CL:1000413,male,European,59-year-old human stage,117,0.8829522300203759
