,dataset_name,cell_type,sex,race,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,female,African American or Afro-Caribbean,2824,21.311599124594373
1,Tabula Sapiens - All Cells,epithelial cell,female,African American or Afro-Caribbean,26,0.1962116066711946
2,Tabula Sapiens - All Cells,T cell,female,African American or Afro-Caribbean,230,1.7357180590144141
3,Tabula Sapiens - All Cells,mast cell,female,African American or Afro-Caribbean,72,0.5433552184740774
4,Tabula Sapiens - All Cells,endothelial cell,female,African American or Afro-Caribbean,1549,11.689683797449248
5,Tabula Sapiens - All Cells,smooth muscle cell,female,African American or Afro-Caribbean,1232,9.297411516111993
6,Tabula Sapiens - All Cells,erythrocyte,female,African American or Afro-Caribbean,47,0.3546902120594672
7,Tabula Sapiens - All Cells,macrophage,female,African American or Afro-Caribbean,1907,14.391366689306468
8,Tabula Sapiens - All Cells,B cell,female,African American or Afro-Caribbean,10,0.07546600256584408
9,Tabula Sapiens - All Cells,pericyte cell,female,African American or Afro-Caribbean,357,2.694136291600634
10,Tabula Sapiens - All Cells,plasma cell,female,African American or Afro-Caribbean,35,0.26413100898045433
11,Tabula Sapiens - All Cells,mature NK T cell,female,African American or Afro-Caribbean,95,0.7169270243755188
12,Tabula Sapiens - All Cells,fibroblast,male,European,1906,14.383820089049884
13,Tabula Sapiens - All Cells,T cell,male,European,153,1.1546298392574146
14,Tabula Sapiens - All Cells,mast cell,male,European,4,0.030186401026337635
15,Tabula Sapiens - All Cells,endothelial cell,male,European,10,0.07546600256584408
16,Tabula Sapiens - All Cells,smooth muscle cell,male,European,1273,9.606822126631952
17,Tabula Sapiens - All Cells,erythrocyte,male,European,7,0.05282620179609086
18,Tabula Sapiens - All Cells,macrophage,male,European,805,6.075013206550449
19,Tabula Sapiens - All Cells,B cell,male,European,6,0.04527960153950645
20,Tabula Sapiens - All Cells,pericyte cell,male,European,526,3.9695117349633993
21,Tabula Sapiens - All Cells,plasma cell,male,European,5,0.03773300128292204
22,Tabula Sapiens - All Cells,mature NK T cell,male,European,13,0.0981058033355973
23,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,male,European,42,0.31695721077654515
24,Tabula Sapiens - All Cells,endothelial cell of artery,male,European,117,0.8829522300203759
