,cell_type,donor_id,age,bmi,sex,race,count,percentage
0,Afferent / Efferent Arteriole Endothelial,HBM994.SGLP.263,,,,,2,0.0285714
1,Connecting Tubule,HBM994.SGLP.263,,,,,210,3.0
2,Cortical Vascular Smooth Muscle / Pericyte,HBM994.SGLP.263,,,,,24,0.342857
3,Descending Thin Limb Type 1,HBM994.SGLP.263,,,,,772,11.0286
4,Distal Convoluted Tubule Type 1,HBM994.SGLP.263,,,,,23,0.328571
5,Fibroblast,HBM994.SGLP.263,,,,,331,4.72857
6,Inner Medullary Collecting Duct,HBM994.SGLP.263,,,,,5426,77.5143
7,M2 Macrophage,HBM994.SGLP.263,,,,,35,0.5
8,Medullary Fibroblast,HBM994.SGLP.263,,,,,91,1.3
9,Mesangial,HBM994.SGLP.263,,,,,2,0.0285714
10,Monocyte-derived,HBM994.SGLP.263,,,,,2,0.0285714
11,Papillary Tip Epithelial,HBM994.SGLP.263,,,,,27,0.385714
12,Plasma,HBM994.SGLP.263,,,,,1,0.0142857
13,Vascular Smooth Muscle / Pericyte,HBM994.SGLP.263,,,,,54,0.771429
