,cell_type,sex,race,count,percentage
0,fibroblast,female,African American or Afro-Caribbean,101,0.7383040935672515
1,gut endothelial cell,female,African American or Afro-Caribbean,22,0.16081871345029242
2,goblet cell,female,African American or Afro-Caribbean,166,1.213450292397661
3,B cell,female,African American or Afro-Caribbean,28,0.20467836257309943
4,enterocyte,female,African American or Afro-Caribbean,1464,10.701754385964913
5,"CD8-positive, alpha-beta T cell",female,African American or Afro-Caribbean,42,0.30701754385964913
6,neutrophil,female,African American or Afro-Caribbean,5,0.03654970760233918
7,intestinal crypt stem cell,female,African American or Afro-Caribbean,143,1.0453216374269005
8,paneth cell of colon,female,African American or Afro-Caribbean,57,0.4166666666666667
9,transit amplifying cell of colon,female,African American or Afro-Caribbean,156,1.1403508771929824
10,intestinal tuft cell,female,African American or Afro-Caribbean,21,0.15350877192982457
11,intestinal enteroendocrine cell,female,African American or Afro-Caribbean,36,0.2631578947368421
12,fibroblast,male,European,852,6.228070175438597
13,mast cell,male,European,38,0.2777777777777778
14,gut endothelial cell,male,European,31,0.22660818713450293
15,B cell,male,European,469,3.4283625730994154
16,monocyte,male,European,543,3.969298245614035
17,"CD4-positive, alpha-beta T cell",male,European,2872,20.994152046783626
18,"CD8-positive, alpha-beta T cell",male,European,2105,15.387426900584794
19,neutrophil,male,European,22,0.16081871345029242
20,plasma cell,male,European,330,2.4122807017543857
21,enterocyte of epithelium of large intestine,male,European,2764,20.2046783625731
22,paneth cell of colon,male,European,831,6.074561403508772
23,transit amplifying cell of colon,male,European,52,0.38011695906432746
24,intestinal crypt stem cell of large intestine,male,European,114,0.8333333333333334
25,intestinal tuft cell,male,European,12,0.08771929824561403
26,large intestine goblet cell,male,European,385,2.814327485380117
27,intestinal enteroendocrine cell,male,European,19,0.1388888888888889
