,dataset_name,cell_type,sex,race,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,female,European,100,1.0563008344776592
1,Tabula Sapiens - All Cells,keratinocyte,female,European,1,0.010563008344776593
2,Tabula Sapiens - All Cells,basal cell,female,European,5073,53.58614133305165
3,Tabula Sapiens - All Cells,pericyte cell,female,European,72,0.7605366008239147
4,Tabula Sapiens - All Cells,leukocyte,female,European,1376,14.534699482412591
5,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,female,European,20,0.21126016689553187
6,Tabula Sapiens - All Cells,capillary endothelial cell,female,European,22,0.23238618358508503
7,Tabula Sapiens - All Cells,vein endothelial cell,female,European,65,0.6865955424104785
8,Tabula Sapiens - All Cells,tongue muscle cell,female,European,5,0.05281504172388297
9,Tabula Sapiens - All Cells,endothelial cell of artery,female,European,7,0.07394105841343615
10,Tabula Sapiens - All Cells,fibroblast,male,European,48,0.5070244005492764
11,Tabula Sapiens - All Cells,keratinocyte,male,European,1897,20.038026830041193
12,Tabula Sapiens - All Cells,basal cell,male,European,424,4.478715538185275
13,Tabula Sapiens - All Cells,pericyte cell,male,European,12,0.1267561001373191
14,Tabula Sapiens - All Cells,leukocyte,male,European,198,2.0914756522657654
15,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,male,European,5,0.05281504172388297
16,Tabula Sapiens - All Cells,capillary endothelial cell,male,European,33,0.34857927537762756
17,Tabula Sapiens - All Cells,vein endothelial cell,male,European,59,0.6232174923418189
18,Tabula Sapiens - All Cells,Schwann cell,male,European,4,0.04225203337910637
19,Tabula Sapiens - All Cells,tongue muscle cell,male,European,31,0.3274532586880744
20,Tabula Sapiens - All Cells,endothelial cell of artery,male,European,15,0.15844512517164888
