cell_type,donor_id,age,bmi,sex,race,count,percentage
Ascending Thin Limb,HBM984.MHHN.738,66,29.1,Male,White,311,3.74383
Ascending Vasa Recta Endothelial,HBM984.MHHN.738,66,29.1,Male,White,41,0.493560
Connecting Tubule,HBM984.MHHN.738,66,29.1,Male,White,2592,31.2026
Cortical Collecting Duct Principal,HBM984.MHHN.738,66,29.1,Male,White,545,6.56073
Cortical Thick Ascending Limb,,,,,,1,0.0120380
Cortical Vascular Smooth Muscle / Pericyte,HBM984.MHHN.738,66,29.1,Male,White,6,0.0722282
Descending Thin Limb Type 1,HBM984.MHHN.738,66,29.1,Male,White,2756,33.1768
Descending Thin Limb Type 2,HBM984.MHHN.738,66,29.1,Male,White,7,0.0842663
Descending Thin Limb Type 3,HBM984.MHHN.738,66,29.1,Male,White,101,1.21584
Descending Vasa Recta Endothelial ,HBM984.MHHN.738,66,29.1,Male,White,56,0.674130
Distal Convoluted Tubule Type 1,HBM984.MHHN.738,66,29.1,Male,White,20,0.240761
Fibroblast,HBM984.MHHN.738,66,29.1,Male,White,16,0.192609
Inner Medullary Collecting Duct,HBM984.MHHN.738,66,29.1,Male,White,1440,17.3348
Intercalated Type B,HBM984.MHHN.738,66,29.1,Male,White,2,0.0240761
M2 Macrophage,HBM984.MHHN.738,66,29.1,Male,White,17,0.204647
Medullary Fibroblast,HBM984.MHHN.738,66,29.1,Male,White,277,3.33454
Mesangial,HBM984.MHHN.738,66,29.1,Male,White,10,0.120380
Monocyte-derived,HBM984.MHHN.738,66,29.1,Male,White,2,0.0240761
Non-classical monocyte,,,,,,1,0.0120380
Outer Medullary Collecting Duct Intercalated Type A,HBM984.MHHN.738,66,29.1,Male,White,18,0.216685
Papillary Tip Epithelial,HBM984.MHHN.738,66,29.1,Male,White,21,0.252799
Parietal Epithelial,HBM984.MHHN.738,66,29.1,Male,White,50,0.601902
Peritubular Capilary Endothelial ,HBM984.MHHN.738,66,29.1,Male,White,3,0.0361141
Podocyte,,,,,,1,0.0120380
Proximal Tubule Epithelial Segment 3,HBM984.MHHN.738,66,29.1,Male,White,3,0.0361141
Schwann / Neural,,,,,,1,0.0120380
Vascular Smooth Muscle / Pericyte,HBM984.MHHN.738,66,29.1,Male,White,9,0.108342
